Name,Count_Ctrl,Count_PE,Mean_Ctrl,Mean_PE,P_value_T_PD_vs_Ctrl,Fold_change_PD_vs_Ctrl,Flag_PD_vs_Ctrl
SM(d16:1/22:0);SM(d18:1/20:0),93,48,22.797,22.833,0.869,0.023,0
SM(d16:1/24:1);SM(d18:2/22:0);SM(d18:1/22:1),93,48,22.932,22.906,0.746,-0.036,0
SM(d17:1/24:1);SM(d18:2/23:0),93,48,21.982,21.853,0.028,-0.141,-1
SM(d18:0/16:0),93,48,19.471,19.698,0.005,0.218,1
SM(d18:0/18:0),93,48,19.267,19.706,0.000339149,0.424,1
SM(d18:1/12:0),93,48,15.362,15.31,0.821,-0.047,0
SM(d18:1/15:0),93,48,20.6,20.583,0.794,-0.03,0
SM(d18:1/16:0),93,48,24.288,24.37,0.26,0.07,0
SM(d18:1/17:0),93,48,19.88,19.957,0.417,0.063,0
SM(d18:1/22:0),93,48,23.901,23.931,0.881,0.021,0
SM(d18:1/23:0),93,48,23.158,23.06,0.048,-0.109,-1
SM(d18:1/24:0),93,48,23.434,23.424,0.946,-0.016,0
SM(d18:1/25:0),93,48,18.193,17.99,0.043,-0.203,-1
SM(d18:1/26:0),93,48,15.696,15.585,0.226,-0.116,0
SM(d18:1/26:1),93,48,17.376,17.377,0.979,-0.013,0
SM(d18:2/14:0),93,48,17.049,16.959,0.368,-0.089,0
SM(d18:2/16:0),93,48,21.99,22.05,0.522,0.049,0
SM(d18:2/18:0);SM(d18:1/18:1),93,48,21.707,21.891,0.016,0.166,1
SM(d18:2/18:1),93,48,17.771,17.68,0.291,-0.107,0
SM(d18:2/20:0),93,48,20.923,20.947,0.979,0.01,0
SM(d18:2/21:0),93,48,18.619,18.472,0.026,-0.162,-1
SM(d18:2/24:0);SM(d18:1/24:1),93,48,24.647,24.723,0.333,0.068,0
SM(d18:2/24:1),93,48,23.728,23.756,0.917,0.02,0
SM(d19:1/24:1),93,48,19.722,19.622,0.393,-0.105,0
SM(d20:1/19:0),93,48,21.604,21.464,0.024,-0.151,-1
TG(10:0/12:0/16:0);TG(10:0/14:0/14:0);TG(12:0/12:0/14:0),93,48,14.495,14.677,0.648,0.214,0
TG(10:0/16:0/16:0);TG(12:0/12:0/18:0);TG(12:0/14:0/16:0),93,48,16.67,16.382,0.683,-0.245,0
TG(12:0/12:0/16:0);TG(12:0/14:0/14:0);TG(10:0/14:0/16:0),93,48,15.282,15.155,0.951,-0.087,0
TG(12:0/12:0/18:1);TG(12:0/14:0/16:1);TG(12:0/14:1/16:0),93,48,16.15,15.795,0.565,-0.308,0
TG(12:0/14:0/18:0);TG(12:0/16:0/16:0);TG(14:0/14:0/16:0),93,48,18.273,18.194,0.966,-0.052,0
TG(12:0/16:0/16:1);TG(12:0/14:0/18:1);TG(14:0/14:0/16:1);TG(14:0/14:1/16:0),93,48,18.492,18.099,0.34,-0.356,0
TG(12:0/16:0/18:1);TG(12:0/16:1/18:0);TG(14:0/14:0/18:1);TG(14:0/16:0/16:1),93,48,20.848,20.687,0.617,-0.15,0
TG(12:0/16:1/16:1);TG(12:0/14:0/18:2);TG(14:1/14:1/16:0);TG(10:0/16:1/18:1),93,48,17.401,16.995,0.392,-0.351,0
TG(12:0/16:1/18:2);TG(14:0/14:1/18:2);TG(14:1/16:1/16:1),93,48,17.831,17.567,0.398,-0.212,0
TG(12:0/18:2/18:2),93,48,18.622,18.28,0.105,-0.304,0
TG(14:0/14:0/18:2);TG(12:0/16:0/18:2);TG(12:0/16:1/18:1);TG(14:0/14:1/18:1);TG(14:0/16:1/16:1),93,48,20.057,19.737,0.213,-0.289,0
TG(14:0/16:0/18:1);TG(16:0/16:0/16:1),93,48,22.571,22.594,0.962,0.023,0
TG(14:0/16:0/18:2);TG(14:0/16:1/18:1);TG(16:0/16:1/16:1),93,48,22.336,22.224,0.448,-0.106,0
TG(14:0/16:0/18:3);TG(14:1/16:0/18:2);TG(14:0/16:1/18:2),93,48,21.032,20.759,0.07,-0.254,0
TG(14:0/18:2/18:3);TG(14:1/18:2/18:2);TG(16:1/16:1/18:3),93,48,19.244,18.935,0.021,-0.281,-1
TG(14:0/18:2/22:6),93,48,17.227,17.213,0.999,0.004,0
