Name,HG
TG(10:0_16:0_16:0);TG(12:0_12:0_18:0);TG(12:0_14:0_16:0),TG
TG(12:0_12:0_16:0);TG(12:0_14:0_14:0);TG(10:0_14:0_16:0),TG
TG(12:0_12:0_18:1);TG(12:0_14:0_16:1);TG(12:0_14:1_16:0),TG
TG(12:0_14:0_18:0);TG(12:0_16:0_16:0);TG(14:0_14:0_16:0),TG
TG(12:0_16:0_16:1);TG(12:0_14:0_18:1);TG(14:0_14:0_16:1);TG(14:0_14:1_16:0),TG
TG(12:0_16:0_18:1);TG(12:0_16:1_18:0);TG(14:0_14:0_18:1);TG(14:0_16:0_16:1),TG
TG(12:0_16:1_16:1);TG(12:0_14:0_18:2);TG(14:1_14:1_16:0);TG(10:0_16:1_18:1),TG
TG(12:0_16:1_18:2);TG(14:0_14:1_18:2);TG(14:1_16:1_16:1),TG
TG(12:0_18:2_18:2),TG
TG(14:0_14:0_18:2);TG(12:0_16:0_18:2);TG(12:0_16:1_18:1);TG(14:0_14:1_18:1);TG(14:0_16:1_16:1),TG
TG(14:0_16:0_18:1);TG(16:0_16:0_16:1),TG
TG(14:0_16:0_18:2);TG(14:0_16:1_18:1);TG(16:0_16:1_16:1),TG
TG(14:0_16:0_18:3);TG(14:1_16:0_18:2);TG(14:0_16:1_18:2),TG
TG(14:0_18:2_18:3);TG(14:1_18:2_18:2);TG(16:1_16:1_18:3),TG
TG(14:0_18:2_22:6),TG
TG(15:0_16:0_18:1);TG(16:0_16:0_17:1);TG(16:0_16:1_17:0),TG
TG(15:0_16:0_18:2),TG
TG(15:0_16:0_18:3);TG(15:0_16:1_18:2),TG
TG(15:0_18:1_18:1);TG(16:0_17:1_18:1);TG(16:0_17:0_18:2),TG
TG(15:0_18:2_18:2),TG
TG(16:0_16:0_16:0),TG
TG(16:0_16:0_18:0),TG
TG(16:0_16:0_18:1),TG
TG(16:0_16:0_18:2);TG(16:0_16:1_18:1),TG
TG(16:0_16:1_18:2);TG(14:0_18:1_18:2);TG(16:0_16:0_18:3);TG(16:1_16:1_18:1),TG
TG(16:0_17:1_18:2);TG(15:0_18:1_18:2);TG(15:0_16:0_20:3);TG(16:1_17:1_18:1),TG
TG(16:0_18:0_18:1),TG
TG(16:0_18:1_18:1),TG
TG(16:0_18:1_20:1);TG(18:0_18:1_18:1),TG
TG(16:0_18:1_22:0),TG
TG(16:0_18:1_22:6);TG(18:1_18:2_20:4),TG
TG(16:0_18:1_24:0),TG
TG(16:0_18:2_18:2);TG(16:1_18:1_18:2),TG
TG(16:0_18:2_18:3);TG(16:1_18:2_18:2);TG(16:1_18:2_18:2),TG
TG(16:0_20:1_20:1);TG(18:0_18:1_20:1);TG(16:0_18:1_22:1);TG(18:1_18:1_20:0),TG
TG(16:0_20:3_22:4);TG(18:1_18:2_22:4);TG(18:2_18:2_22:3),TG
TG(16:1_16:1_18:2);TG(14:0_18:1_18:3);TG(14:0_18:2_18:2);TG(16:0_16:1_18:3),TG
TG(16:1_18:1_18:1);TG(16:0_18:1_18:2),TG
TG(16:1_18:2_18:3);TG(14:0_18:2_20:4),TG
TG(16:1_18:2_20:4);TG(18:2_18:2_18:3);TG(18:2_18:2_18:3),TG
TG(17:0_18:0_18:1),TG
TG(17:0_18:1_18:1);TG(16:0_18:1_19:1),TG
TG(17:0_18:2_18:2);TG(17:1_18:1_18:2),TG
TG(17:1_18:1_18:1);TG(16:0_18:2_19:1);TG(17:0_18:1_18:2);TG(16:0_17:0_20:3),TG
TG(17:1_18:2_18:2),TG
